"system process	0.000019292756016905977	FBgn0000253",FBgn0000273,FBgn0000535,FBgn0001991,FBgn0003093,FBgn0003301,FBgn0003371,FBgn0003380,FBgn0003392,FBgn0004244,FBgn0004907,FBgn0004921,FBgn0013334,FBgn0013995,FBgn0015872,FBgn0024944,FBgn0026268,FBgn0027556,FBgn0028397,FBgn0032946,FBgn0033065,FBgn0033504,FBgn0033558,FBgn0035538,FBgn0037324,FBgn0037989,FBgn0038282,FBgn0038975,FBgn0039419,FBgn0041210,FBgn0042129,FBgn0052179,FBgn0085434,FBgn0085447,FBgn0259108,FBgn0259243,FBgn0259481,FBgn0260004,FBgn0260499,FBgn0261788,FBgn0261871,FBgn0262593,FBgn0262738,FBgn0263111,FBgn0264307,FBgn0264908,"FBgn0285944	GO:0003008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regulation of biological quality	1.2818822043062466e-15	FBgn0000024",FBgn0000064,FBgn0000253,FBgn0000303,FBgn0000535,FBgn0000579,FBgn0001078,FBgn0001092,FBgn0001186,FBgn0003360,FBgn0003371,FBgn0003380,FBgn0003392,FBgn0003429,FBgn0004242,FBgn0004244,FBgn0004580,FBgn0004907,FBgn0005586,FBgn0005671,FBgn0011206,FBgn0011211,FBgn0011656,FBgn0011661,FBgn0013334,FBgn0013342,FBgn0013672,FBgn0015024,FBgn0015754,FBgn0015872,FBgn0021872,FBgn0024944,FBgn0025726,FBgn0027492,FBgn0028397,FBgn0028670,FBgn0028704,FBgn0029687,FBgn0029761,FBgn0030276,FBgn0030613,FBgn0030897,FBgn0031030,FBgn0032006,FBgn0032840,FBgn0032946,FBgn0033558,FBgn0033876,FBgn0034070,FBgn0034072,FBgn0035142,FBgn0035437,FBgn0035438,FBgn0036007,FBgn0036043,FBgn0037637,FBgn0037989,FBgn0038641,FBgn0038975,FBgn0038980,FBgn0039419,FBgn0039647,FBgn0040297,FBgn0041605,FBgn0041707,FBgn0052451,FBgn0053547,FBgn0053653,FBgn0053988,FBgn0085434,FBgn0085447,FBgn0086687,FBgn0259108,FBgn0259174,FBgn0259221,FBgn0259481,FBgn0260004,FBgn0260499,FBgn0261788,FBgn0262593,FBgn0262738,FBgn0263111,FBgn0263397,FBgn0263980,FBgn0264006,FBgn0264087,FBgn0264307,FBgn0264357,FBgn0264598,FBgn0264908,FBgn0266599,FBgn0267002,FBgn0267385,FBgn0283427,FBgn0285944,"FBgn0285963	GO:0065008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"generation of precursor metabolites and energy	1.1291100021161195e-12	FBgn0000064",FBgn0000579,FBgn0001091,FBgn0001092,FBgn0001186,FBgn0010217,FBgn0010352,FBgn0011211,FBgn0013672,FBgn0013674,FBgn0013675,FBgn0013676,FBgn0013678,FBgn0013679,FBgn0013684,FBgn0015031,FBgn0019624,FBgn0027291,FBgn0029888,FBgn0032833,FBgn0034072,FBgn0034877,FBgn0037001,FBgn0038271,FBgn0040529,FBgn0040773,FBgn0261439,FBgn0261955,FBgn0262559,FBgn0262952,FBgn0267385,FBgn0283427,FBgn0284248,"FBgn0286222	GO:0006091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ATP metabolic process	6.401271264900914e-18	FBgn0000064",FBgn0000579,FBgn0001091,FBgn0001092,FBgn0001186,FBgn0003360,FBgn0005671,FBgn0010217,FBgn0010612,FBgn0011211,FBgn0013672,FBgn0013673,FBgn0013674,FBgn0013675,FBgn0013676,FBgn0013678,FBgn0013684,FBgn0015031,FBgn0016119,FBgn0019624,FBgn0019644,FBgn0029888,FBgn0032833,FBgn0034072,FBgn0034877,FBgn0037001,FBgn0038271,FBgn0039830,FBgn0040529,FBgn0040773,FBgn0261439,FBgn0262952,FBgn0267385,"FBgn0284248	GO:0046034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"developmental growth	0.00803198281292131	FBgn0000273",FBgn0000535,FBgn0003301,FBgn0003360,FBgn0003371,FBgn0003380,FBgn0003429,FBgn0004852,FBgn0031030,FBgn0032840,FBgn0034072,FBgn0035142,FBgn0035437,FBgn0036007,FBgn0036318,FBgn0038975,FBgn0038980,FBgn0039883,FBgn0041605,FBgn0085432,FBgn0086677,FBgn0086687,FBgn0259108,FBgn0259481,FBgn0261788,FBgn0263111,FBgn0264006,"FBgn0267002	GO:0048589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"neuromuscular junction development	0.0036166402507405164	FBgn0003301",FBgn0003360,FBgn0003371,FBgn0003429,FBgn0025726,FBgn0029687,FBgn0030897,FBgn0035437,FBgn0038975,FBgn0038980,FBgn0041605,FBgn0086677,FBgn0259108,FBgn0259174,FBgn0259481,FBgn0261788,FBgn0263111,FBgn0264006,"FBgn0267002	GO:0007528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phosphorus metabolic process	1.916395893611846e-11	FBgn0000064",FBgn0000253,FBgn0000273,FBgn0000382,FBgn0000579,FBgn0000711,FBgn0001091,FBgn0001092,FBgn0001186,FBgn0003091,FBgn0003093,FBgn0003134,FBgn0003301,FBgn0003360,FBgn0003371,FBgn0003392,FBgn0004852,FBgn0010217,FBgn0010612,FBgn0011211,FBgn0012034,FBgn0013672,FBgn0013673,FBgn0013674,FBgn0013675,FBgn0013676,FBgn0013678,FBgn0013684,FBgn0015024,FBgn0015031,FBgn0016119,FBgn0017581,FBgn0019624,FBgn0019644,FBgn0022382,FBgn0023388,FBgn0024734,FBgn0026314,FBgn0027279,FBgn0027492,FBgn0028341,FBgn0029687,FBgn0029888,FBgn0030613,FBgn0030997,FBgn0031030,FBgn0031294,FBgn0032006,FBgn0032083,FBgn0032833,FBgn0032840,FBgn0034072,FBgn0034606,FBgn0034877,FBgn0034894,FBgn0035142,FBgn0035538,FBgn0037001,FBgn0037995,FBgn0038237,FBgn0038271,FBgn0039830,FBgn0040529,FBgn0040773,FBgn0052626,FBgn0085371,FBgn0085413,FBgn0086677,FBgn0243512,FBgn0259243,FBgn0261439,FBgn0262738,FBgn0262952,FBgn0264357,FBgn0264815,FBgn0267385,"FBgn0284248	GO:0006793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cell-cell signaling	5.577391585695898e-13	FBgn0000024",FBgn0000273,FBgn0000303,FBgn0000711,FBgn0003134,FBgn0003301,FBgn0003360,FBgn0003380,FBgn0003392,FBgn0003429,FBgn0004242,FBgn0004244,FBgn0004580,FBgn0005586,FBgn0013334,FBgn0013342,FBgn0024944,FBgn0025726,FBgn0029687,FBgn0030613,FBgn0030897,FBgn0033558,FBgn0033872,FBgn0033876,FBgn0034072,FBgn0038975,FBgn0038980,FBgn0039419,FBgn0041605,FBgn0053547,FBgn0053653,FBgn0085432,FBgn0086372,FBgn0086677,FBgn0259243,FBgn0260499,FBgn0261788,FBgn0262483,FBgn0262593,FBgn0263111,FBgn0263397,FBgn0264006,FBgn0264087,FBgn0264908,"FBgn0266599	GO:0007267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cellular respiration	5.872997985276015e-9	FBgn0010352",FBgn0013674,FBgn0013675,FBgn0013676,FBgn0013678,FBgn0013679,FBgn0013684,FBgn0015031,FBgn0019624,FBgn0027291,FBgn0029888,FBgn0032833,FBgn0034877,FBgn0037001,FBgn0038271,FBgn0040529,FBgn0040773,FBgn0261439,FBgn0261955,FBgn0262559,FBgn0262952,FBgn0284248,"FBgn0286222	GO:0045333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"neurotransmitter transport	0.0023493009720525516	FBgn0004242",FBgn0005586,FBgn0013342,FBgn0025726,FBgn0027660,FBgn0029687,FBgn0030613,FBgn0030897,FBgn0033876,FBgn0038641,FBgn0041605,FBgn0053547,FBgn0053653,FBgn0262476,FBgn0263111,FBgn0263397,"FBgn0266599	GO:0006836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"synapse organization	0.006223147518664205	FBgn0001145",FBgn0003301,FBgn0003360,FBgn0003371,FBgn0003429,FBgn0005586,FBgn0025726,FBgn0029687,FBgn0030897,FBgn0035437,FBgn0038282,FBgn0038975,FBgn0038980,FBgn0039883,FBgn0041605,FBgn0086677,FBgn0259108,FBgn0259174,FBgn0259481,FBgn0261788,FBgn0261871,FBgn0262483,FBgn0263111,FBgn0264006,"FBgn0267002	GO:0050808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regulation of localization	0.00011752738985710548	FBgn0000253",FBgn0000273,FBgn0000535,FBgn0003091,FBgn0003371,FBgn0003710,FBgn0004242,FBgn0005586,FBgn0011661,FBgn0027492,FBgn0027556,FBgn0030897,FBgn0031030,FBgn0031294,FBgn0032006,FBgn0033872,FBgn0035505,FBgn0037324,FBgn0037989,FBgn0038237,FBgn0038975,FBgn0040696,FBgn0041605,FBgn0041707,FBgn0052179,FBgn0053653,FBgn0086372,FBgn0243512,FBgn0259174,FBgn0260499,FBgn0262738,FBgn0263111,FBgn0263220,FBgn0263397,FBgn0264006,FBgn0264087,FBgn0264598,"FBgn0267002	GO:0032879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"positive regulation of cellular process	0.03452944681202774	FBgn0000253",FBgn0000273,FBgn0000535,FBgn0000711,FBgn0001078,FBgn0003091,FBgn0003134,FBgn0003360,FBgn0003371,FBgn0003392,FBgn0004242,FBgn0004580,FBgn0004907,FBgn0011206,FBgn0011274,FBgn0011656,FBgn0011661,FBgn0011760,FBgn0013576,FBgn0015024,FBgn0015754,FBgn0016694,FBgn0017581,FBgn0019624,FBgn0021872,FBgn0023388,FBgn0024944,FBgn0026206,FBgn0027492,FBgn0028397,FBgn0030613,FBgn0031030,FBgn0032006,FBgn0032840,FBgn0033872,FBgn0034606,FBgn0034894,FBgn0035142,FBgn0035246,FBgn0035437,FBgn0035538,FBgn0036318,FBgn0038504,FBgn0038975,FBgn0039054,FBgn0041707,FBgn0042696,FBgn0051660,FBgn0052179,FBgn0053653,FBgn0085432,FBgn0085447,FBgn0086372,FBgn0086677,FBgn0086708,FBgn0243512,FBgn0259174,FBgn0259243,FBgn0260499,FBgn0261552,FBgn0261788,FBgn0262559,FBgn0262738,FBgn0263111,FBgn0263220,FBgn0264006,FBgn0264307,FBgn0264357,FBgn0264598,FBgn0266599,FBgn0267002,"FBgn0284248	GO:0048522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regulation of molecular function	0.03496279642474349	FBgn0000253",FBgn0000535,FBgn0003371,FBgn0004907,FBgn0011211,FBgn0011760,FBgn0015754,FBgn0023388,FBgn0024944,FBgn0028743,FBgn0030613,FBgn0031030,FBgn0031116,FBgn0032006,FBgn0033872,FBgn0034606,FBgn0034877,FBgn0039883,FBgn0041210,FBgn0041707,FBgn0085447,FBgn0243512,FBgn0259174,FBgn0260499,FBgn0261928,FBgn0262559,FBgn0263220,FBgn0264006,FBgn0264087,FBgn0264357,"FBgn0284248	GO:0065009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"positive regulation of biological process	0.003235131588886861	FBgn0000253",FBgn0000273,FBgn0000535,FBgn0000711,FBgn0001078,FBgn0003091,FBgn0003134,FBgn0003360,FBgn0003371,FBgn0003380,FBgn0003392,FBgn0004242,FBgn0004580,FBgn0004907,FBgn0011206,FBgn0011274,FBgn0011656,FBgn0011661,FBgn0011760,FBgn0013576,FBgn0014184,FBgn0015024,FBgn0015754,FBgn0016694,FBgn0017581,FBgn0019624,FBgn0021872,FBgn0023388,FBgn0024944,FBgn0026206,FBgn0027492,FBgn0028397,FBgn0030613,FBgn0031030,FBgn0031384,FBgn0032006,FBgn0032840,FBgn0033872,FBgn0034606,FBgn0034894,FBgn0035142,FBgn0035246,FBgn0035437,FBgn0035538,FBgn0036318,FBgn0038504,FBgn0038975,FBgn0039054,FBgn0039419,FBgn0041210,FBgn0041707,FBgn0042696,FBgn0051660,FBgn0052179,FBgn0053653,FBgn0085432,FBgn0085447,FBgn0086372,FBgn0086677,FBgn0086687,FBgn0086708,FBgn0243512,FBgn0259174,FBgn0259243,FBgn0260499,FBgn0261552,FBgn0261788,FBgn0262559,FBgn0262593,FBgn0262738,FBgn0263111,FBgn0263220,FBgn0263397,FBgn0264006,FBgn0264307,FBgn0264357,FBgn0264598,FBgn0266599,FBgn0267002,"FBgn0284248	GO:0048518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"purine-containing compound biosynthetic process	0.002437406466865817	FBgn0003301",FBgn0003360,FBgn0004852,FBgn0010217,FBgn0010612,FBgn0011211,FBgn0012034,FBgn0013672,FBgn0013673,FBgn0016119,FBgn0019644,FBgn0037995,FBgn0039830,"FBgn0052626	GO:0072522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"response to ethanol	0.027771740156048188	FBgn0000253",FBgn0000273,FBgn0003093,FBgn0003301,FBgn0012034,FBgn0022382,FBgn0031030,FBgn0035538,FBgn0037324,FBgn0038282,"FBgn0259243	GO:0045471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"second-messenger-mediated signaling	0.0167971338516552	FBgn0000253",FBgn0000273,FBgn0001991,FBgn0003301,FBgn0003371,FBgn0004852,FBgn0022382,FBgn0035538,FBgn0038980,FBgn0039419,FBgn0052451,FBgn0259243,FBgn0262738,"FBgn0263111	GO:0019932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chemical synaptic transmission	1.5763854903876384e-13	FBgn0000024",FBgn0000273,FBgn0000303,FBgn0003301,FBgn0003360,FBgn0003380,FBgn0003392,FBgn0003429,FBgn0004242,FBgn0004244,FBgn0004580,FBgn0005586,FBgn0013334,FBgn0013342,FBgn0024944,FBgn0025726,FBgn0029687,FBgn0030613,FBgn0030897,FBgn0033558,FBgn0033872,FBgn0033876,FBgn0034072,FBgn0038975,FBgn0041605,FBgn0053547,FBgn0053653,FBgn0086372,FBgn0086677,FBgn0259243,FBgn0260499,FBgn0261788,FBgn0262483,FBgn0262593,FBgn0263111,FBgn0263397,FBgn0264006,FBgn0264087,FBgn0264908,"FBgn0266599	GO:0007268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,